id,žanr
110763,Religion
110763,Spirituality
110763,Religion
1111,History
1111,Biography
1111,Nonfiction
1111,Politics
1111,North American Hi...
11125,Fiction
11125,Thriller
11125,Mystery
11125,Suspense
11125,Thriller
11125,Mystery
11125,Adventure
11125,Science Fiction
11125,Novels
11125,Action
11127,Childrens
11127,Science Fiction Fantasy
11127,Christian Fiction
11127,Fantasy
11127,Fantasy
11127,Religion
11127,Childrens
11127,Literature
11127,Young Adult
11127,Religion
11138,Christian
11138,Religion
11138,Religion
11138,Religion
11138,Nonfiction
11138,Classics
111734,Plays
111734,Classics
111734,Fiction
111734,Drama
111734,Plays
112,Science Fiction
112,Fiction
112,Fantasy
11206,Historical Fiction
11206,Fiction
11229,Fiction
11229,Classics
11229,Literature
11229,European Literature
11229,Novels
11229,Literary Fiction
11229,European Literature
11229,Literature
11229,Philosophy
11229,Contemporary
11230,Fiction
11230,Classics
11230,European Literature
112537,Science Fiction
112537,Fiction
112537,Classics
11275,Fiction
11275,Magical Realism
11275,Asian Literature
11275,Cultural
11275,Fantasy
11275,Literature
11297,Cultural
11297,Asian Literature
11297,Romance
11297,Contemporary
11298,Fiction
11298,Cultural
11298,Asian Literature
11298,Magical Realism
11298,Fantasy
113091,Fiction
113091,Classics
113091,Literature
113205,Classics
113205,Science Fiction
113205,Literature
113205,Fantasy
113205,Literature
113304,Fantasy
113304,Young Adult
113304,Adventure
113304,Childrens
113304,Childrens
113304,Mystery
113304,Fiction
113304,Historical Fiction
11334,Fiction
11334,Classics
11334,Cultural
11334,Literature
11334,Historical Fiction
11334,Novels
11334,Academic
11334,Literary Fiction
11334,Literature
11334,Contemporary
11337,Fiction
11337,Classics
11337,Cultural
11337,Historical Fiction
11337,Literature
113441,Fiction
113441,Classics
113441,Literature
113441,Novels
113441,Literature
11346,Fiction
11346,Classics
11346,Cultural
11346,Historical Fiction
11346,Literature
11366,History
11366,Nonfiction
11366,War
11366,War
11366,War
11366,Military
11366,Historical
11366,Politics
11366,History
11366,Audiobook
11376,Classics
11376,Fiction
11376,Literature
11376,Literature
11376,Historical Fiction
11376,Novels
11376,Classics
11376,Literature
11376,Literary Fiction
11376,Audiobook
11378,Fiction
11378,Classics
11378,Religion
11378,Literature
11378,Novels
11389,Fiction
11389,Literature
11389,Classics
113946,Childrens
113946,Classics
113946,Fiction
11422,Christian Fiction
11422,Christian
11422,Fiction
11422,Romance
11422,Historical Fiction
11422,Historical
114282,Holiday
114282,Childrens
114282,Childrens
114282,Holiday
114282,Fiction
114282,Classics
114282,Christian
114282,Religion
114282,Fantasy
114282,Childrens
114345,Classics
114345,Childrens
114345,Historical Fiction
114345,Young Adult
114345,Fiction
114362,Feminism
114362,Nonfiction
114362,Plays
114362,Drama
11438,Short Stories
11438,Fiction
11438,Classics
11438,Literature
11438,Literature
11449,Short Stories
11449,Classics
11449,Literature
11449,Literature
11466,Autobiography
11466,Nonfiction
11466,Biography
11466,Biography Memoir
11472,Nonfiction
11472,Cultural
11472,War
11472,Politics
11472,History
11472,Writing
11472,Autobiography
11472,Historical
11472,Biography
11472,Social Movements
11486,Classics
11486,Fiction
11486,Historical Fiction
11486,Feminism
11499,Fiction
11499,Classics
11499,Literature
11499,Historical Fiction
11499,Literature
11499,Religion
11499,Religion
11502,Fiction
11502,Literature
11502,Religion
11502,Literature
11502,Historical Fiction
11502,Religion
11502,Classics
11502,Novels
11502,Art
11502,Young Adult
11507,Fiction
11507,Classics
11507,Historical Fiction
11507,Literature
11507,Religion
11507,Literature
115476,Fiction
115476,Classics
115476,Literature
11553,Horror
11553,Fiction
11553,Fantasy
11553,Mystery
11553,Young Adult
11557,Horror
11557,Fiction
11557,Apocalyptic
11557,Fantasy
11557,Science Fiction
11557,Science Fiction
11557,Science Fiction
11566,Horror
11566,Fiction
11566,Fantasy
11566,Thriller
11573,Thriller
11573,Fantasy
11573,Horror
11588,Horror
11588,Fiction
11588,Thriller
11588,Classics
11590,Paranormal
11590,Horror
11590,Thriller
11590,Fantasy
11590,Fantasy
116114,Fiction
116114,Classics
116114,Historical Fiction
116114,War
116114,Literature
116114,War
116114,War
116114,Literature
116114,Novels
116114,Historical
116343,Fantasy
116343,Fiction
116343,Historical Fiction
116343,Mythology
116343,Historical
116343,Science Fiction Fantasy
116343,Fantasy
116343,Adventure
116343,European Literature
116343,Historical Fiction
11650,Fiction
11650,Classics
11650,Literature
11650,Novels
11650,Literature
11666,Fiction
11666,Classics
11686,Short Stories
11686,Fiction
11686,Classics
11686,Literature
11686,Literature
11686,Literature
11686,Literary Fiction
11686,American
11686,Modern
11686,Adult Fiction
11692,Mystery
11692,Literature
11692,Novels
11692,Contemporary
11692,Literary Fiction
11692,Fiction
11692,Cultural
11692,Literature
11692,Asian Literature
11692,Drama
11702,Nonfiction
11702,Writing
11702,History
11702,Poetry
11702,European Literature
11702,Cultural
11702,Classics
11702,Literature
11702,Nobel Prize
11702,Philosophy
117047,Nonfiction
117047,Science
117047,Biology
117047,Science
117047,Religion
117047,Philosophy
11713,Historical Fiction
11713,Fiction
11713,Classics
11713,Romance
11713,Cultural
11734,Fiction
11734,Literature
11734,Novels
11734,Literature
11741,Fiction
11741,Novels
11741,Literature
11741,Literary Fiction
11741,Contemporary
11761,Fiction
11761,Literature
11761,Novels
11761,Literature
11761,Contemporary
11762,Fiction
11762,Classics
11762,Literature
11762,Novels
11762,Literature
11768,Fiction
11768,Contemporary
11768,Literature
117833,Fiction
117833,Classics
117833,Cultural
117833,Fantasy
117833,Literature
117833,Magical Realism
117833,Literature
118345,Short Stories
118345,Fiction
118345,Literature
118345,Literature
118389,Poetry
118389,Classics
118389,Literature
118389,Academic
118389,Fiction
11899,Fiction
11899,Historical Fiction
11899,Literary Fiction
11899,Novels
11899,Literature
11901,Horror
11901,Fantasy
11901,Fiction
11901,Fantasy
11901,Paranormal
119073,Fiction
119073,Historical Fiction
119073,Mystery
119073,Classics
119073,Historical
119073,Literature
11908,Fiction
11908,Classics
11908,Literature
11908,Novels
119322,Fantasy
119322,Young Adult
119322,Fiction
119322,Childrens
119324,Fantasy
119324,Young Adult
119324,Fiction
119324,Childrens
119561,Philosophy
119561,Nonfiction
119561,Philosophy
119561,History
119561,Science
119561,Sociology
119760,Nonfiction
119760,Spirituality
119760,Psychology
119760,Philosophy
119760,Self Help
119760,Philosophy
119760,Self Help
119760,Religion
119760,Inspirational
119760,Audiobook
119829,Historical Fiction
119829,Historical
119829,Fiction
119829,Historical Fiction
119829,European Literature
11987,Philosophy
11987,Nonfiction
11987,Writing
11987,Classics
11989,Fiction
11989,Classics
11989,Cultural
11989,Literature
11989,European Literature
11989,Novels
11990,Philosophy
11990,Nonfiction
11990,Writing
11990,Cultural
11990,Classics
11991,Fiction
11991,Philosophy
11991,Classics
11991,Cultural
11991,Literature
11991,European Literature
12067,Fantasy
12067,Fiction
12067,Humor
12067,Fantasy
12067,Humor
12073,Philosophy
12073,Nonfiction
12073,Humanities
12075,Philosophy
12075,Nonfiction
12075,Philosophy
12075,European Literature
12083,Plays
12083,Drama
12083,Classics
12083,Fiction
12083,Plays
12083,Literature
12096,Plays
12096,Drama
12096,Fiction
12096,Cultural
12096,Plays
12096,Classics
12172,Historical Fiction
12172,Fiction
12172,Classics
12172,Cultural
12172,Historical
12172,European Literature
12172,Literature
12172,Philosophy
12172,Novels
12172,Literature
121749,Fantasy
121749,Fiction
121749,Classics
121749,Young Adult
121749,Childrens
12187,Fiction
12187,Classics
12187,Cultural
12187,Literature
122,Fiction
122,Historical Fiction
122,Cultural
122,Classics
12220,Plays
12220,Classics
12220,Drama
12220,Fiction
12220,Academic
12220,Plays
12220,Literature
12220,Literature
12220,Academic
12220,Young Adult
122311,Fiction
122311,Historical Fiction
122311,Western
122311,Literature
122410,Sequential Art
122410,Sequential Art
122410,Sequential Art
122410,Fiction
122410,Humor
122410,Cultural
122410,Childrens
122410,Historical Fiction
122410,Comics
122410,Graphic Novels Comics
12279,Fiction
12279,Classics
12279,Literature
12279,European Literature
12279,Cultural
12279,Novels
12287,Drama
12287,Fiction
12287,Plays
12287,European Literature
12287,Plays
12287,Literature
123632,Nonfiction
123632,Philosophy
123632,Psychology
123632,Fantasy
123632,Science
12395,Fiction
12395,Literary Fiction
12395,Cultural
124272,Classics
124272,Fiction
124272,Literature
12448,Fiction
12448,Classics
12448,Literature
124509,Fiction
124509,Mystery
124509,Mystery
124509,Thriller
124509,Cultural
12467,War
12467,Historical Fiction
12467,Fiction
12467,Classics
12467,Literature
12468,Nonfiction
12468,Crime
12468,Mystery
12527,Writing
12527,Fiction
12527,Classics
12527,Environment
125432,Fiction
125432,Classics
125432,Historical Fiction
125432,European Literature
125432,War
12555,Fiction
12555,Historical Fiction
12555,Cultural
12555,Cultural
12555,Historical
12555,Literature
12555,Contemporary
12555,Adult
12555,Adult Fiction
12555,Novels
12557,Fiction
12557,Historical Fiction
12557,Cultural
12557,Cultural
